pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
AR-ZH,AR + ZH docs,26.4028,26.7034,0.3005999999999993,70.0,-0.0778113873690776,1.061190200511964,-0.14712896405819745,1.2339540750138769,ar,zh,mismatch,1,1,H-H,0.4158989815194788,0.6236095644623236,1.0,1.0,bi,L1+L2 docs
AR-ZH,AR docs,24.5283,25.975,1.4466999999999999,50.0,0.8754111399389123,2.2400941678085986,0.7548693825630812,2.3937605661270176,ar,zh,mismatch,1,1,H-H,0.4158989815194788,0.6236095644623236,1.0,1.0,mono,L1 docs
AR-ZH,ZH docs,26.1669,26.4649,0.2980000000000018,70.0,-0.08084013954831111,0.7839090267259609,-0.14376799135834464,0.8809309548247567,ar,zh,mismatch,1,1,H-H,0.4158989815194788,0.6236095644623236,1.0,1.0,mono,L2 docs
DE-AR,AR docs,24.5283,26.8637,2.3354,50.0,1.4936600249559029,3.214232650564351,1.3492348614742178,3.400039537250584,de,ar,mismatch,1,1,H-H,0.3364485981308411,-1.0,1.0,1.0,mono,L2 docs
DE-AR,DE + AR docs,27.9303,28.8018,0.871500000000001,30.0,0.5098592143025158,1.6816235012031284,0.43982531362983285,1.8575081078786442,de,ar,mismatch,1,1,H-H,0.3364485981308411,-1.0,1.0,1.0,bi,L1+L2 docs
DE-AR,DE docs,27.7748,28.37,0.595200000000002,10.0,0.3624064240527904,1.0583805230674703,0.3089091131655932,1.1489423293266543,de,ar,mismatch,1,1,H-H,0.3364485981308411,-1.0,1.0,1.0,mono,L1 docs
DE-HI,DE + HI docs,27.8864,29.184,1.2976000000000028,30.0,0.7136231215924097,1.962695875785149,0.5963840227749061,2.0894819328543535,de,hi,mismatch,1,1,H-L,0.3116204609706646,-1.0,0.5,0.8333333333333334,bi,L1+L2 docs
DE-HI,DE docs,27.7748,28.5875,0.8126999999999995,30.0,0.4095670574190889,1.3034710770972462,0.35290048714012345,1.3928730304066075,de,hi,mismatch,1,1,H-L,0.3116204609706646,-1.0,0.5,0.8333333333333334,mono,L1 docs
DE-HI,HI docs,26.7959,27.7934,0.9974999999999987,70.0,0.4970028501309752,1.5267108443641093,0.3971010205423956,1.6172777719828633,de,hi,mismatch,1,1,H-L,0.3116204609706646,-1.0,0.5,0.8333333333333334,mono,L2 docs
DE-ID,DE + ID docs,28.6271,29.8295,1.2024000000000008,50.0,0.5225397976399346,1.792587476572261,0.40828163478970997,1.9155299709945914,de,id,match,1,1,H-L,0.3060717923159134,-1.0,0.0,1.0,bi,L1+L2 docs
DE-ID,DE docs,27.7748,28.3245,0.5497000000000014,30.0,0.28745066072548175,1.1027187180114055,0.2241690924815324,1.2092037799899886,de,id,match,1,1,H-L,0.3060717923159134,-1.0,0.0,1.0,mono,L1 docs
DE-ID,ID docs,28.4534,29.1843,0.7309000000000019,70.0,0.28032011509085225,1.2088506480857242,0.20557890096557083,1.3058506375499392,de,id,match,1,1,H-L,0.3060717923159134,-1.0,0.0,1.0,mono,L2 docs
DE-JA,DE + JA docs,27.95,28.7663,0.8163000000000018,30.0,0.3801667657910455,1.427750855404704,0.303682730608441,1.5461278280933255,de,ja,mismatch,1,1,H-H,0.3679140008824957,-1.0,0.5,1.0,bi,L1+L2 docs
DE-JA,DE docs,27.7748,28.4141,0.6393000000000022,30.0,0.31954967650786353,1.1609818936173226,0.26114548112444286,1.2605724887019392,de,ja,mismatch,1,1,H-H,0.3679140008824957,-1.0,0.5,1.0,mono,L1 docs
DE-JA,JA docs,27.2089,27.7454,0.5365000000000002,70.0,0.2446851142648617,1.0647373308231132,0.19041595974118053,1.1636087215563196,de,ja,mismatch,1,1,H-H,0.3679140008824957,-1.0,0.5,1.0,mono,L2 docs
DE-NL,DE + NL docs,28.6329,29.8445,1.2116000000000007,50.0,0.7575174072767595,1.7610173690980007,0.6719181402101729,1.8732535028367947,de,nl,match,0,0,H-L,0.0848649361237782,-1.0,0.0,0.5416666666666666,bi,L1+L2 docs
DE-NL,DE docs,27.7748,28.6375,0.8627000000000002,30.0,0.4298161881048909,1.4366703970462031,0.3514312900039312,1.5363671838116486,de,nl,match,0,0,H-L,0.0848649361237782,-1.0,0.0,0.5416666666666666,mono,L1 docs
DE-NL,NL docs,28.7171,29.8636,1.1465000000000032,70.0,0.7445686442909334,1.6656487791194312,0.6702284811766337,1.7537160159352867,de,nl,match,0,0,H-L,0.0848649361237782,-1.0,0.0,0.5416666666666666,mono,L2 docs
