dataset,docs_size,num_bands,exp_tag,exp_type,block,doc_lang,query_lang_a,query_lang_b,pair,doc_mix,method,model,result_kind,result_variant,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
mmarco,100000,5,mono-ru-en-ru-script,mono,script,ru,en,ru,EN-RU,RU docs,embed,multilingual-e5-large-instruct,vector_mix,,80.903,83.181,2.2779999999999916,50.0,1.646842378817336,2.98632893651749,1.5306706871431843,3.0982612925056943,en,ru,mismatch,1,1,H-L,0.2669,0.5352,1.0,0.75,mono,L2 docs
mmarco,100000,5,mono-ru-zh-ru-composition,mono,composition,ru,zh,ru,ZH-RU,RU docs,embed,gte-multilingual-base,vector_mix,,74.522,76.1384,1.6163999999999987,70.0,1.0847103889098741,2.1879677207416233,0.9793591869577387,2.30315320713869,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-ru-zh-ru-composition,mono,composition,ru,zh,ru,ZH-RU,RU docs,embed,jina-embeddings-v3,vector_mix,,75.4855,76.4665,0.9809999999999945,70.0,0.5398413378877877,1.453279103015263,0.47723827894335646,1.5441191466841955,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-ru-zh-ru-composition,mono,composition,ru,zh,ru,ZH-RU,RU docs,embed,multilingual-e5-large-instruct,vector_mix,,80.9507,81.7397,0.7890000000000015,70.0,0.28876384948886696,1.3170709207376154,0.20783929818306499,1.4209916830641045,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-ru-zh-ru-size,mono,size,ru,zh,ru,ZH-RU,RU docs,embed,Qwen3-Embedding-4B,vector_mix,,83.4718,85.1816,1.7098000000000013,50.0,1.122248906261556,2.2722675154670333,1.0126773814904364,2.373385834788535,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-ru-zh-ru-size,mono,size,ru,zh,ru,ZH-RU,RU docs,embed,Qwen3-Embedding-8B,vector_mix,,84.8921,86.5489,1.656800000000004,50.0,1.0658155452459717,2.040589910652424,0.9619812095731639,2.129789536923104,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-ar-zh-composition,mono,composition,zh,ar,zh,AR-ZH,ZH docs,embed,gte-multilingual-base,vector_mix,,80.1981,80.314,0.11589999999999634,90.0,-0.07725156809329618,0.5969448783267182,-0.12486858736428592,0.6978436673622933,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-ar-zh-composition,mono,composition,zh,ar,zh,AR-ZH,ZH docs,embed,jina-embeddings-v3,vector_mix,,75.1365,75.7442,0.6077000000000083,70.0,0.11503476320137622,1.139215481214952,0.024431729334454765,1.2401087682392151,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-ar-zh-composition,mono,composition,zh,ar,zh,AR-ZH,ZH docs,embed,multilingual-e5-large-instruct,vector_mix,,80.7765,81.2445,0.4680000000000035,90.0,0.21321646015686327,0.8174960151311087,0.1647783660540281,0.9034165094543926,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-ar-zh-size,mono,size,zh,ar,zh,AR-ZH,ZH docs,embed,Qwen3-Embedding-4B,vector_mix,,86.3714,86.9003,0.5289000000000073,70.0,0.15461833611432851,0.9341430668652426,0.0977282802317042,1.0108645847613686,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-ar-zh-size,mono,size,zh,ar,zh,AR-ZH,ZH docs,embed,Qwen3-Embedding-8B,vector_mix,,87.8454,88.5469,0.7014999999999958,70.0,0.3404756613451241,1.0814823704122885,0.2771750524280961,1.1472465208556093,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-en-zh-composition,mono,composition,zh,en,zh,EN-ZH,ZH docs,embed,Qwen3-Embedding-0.6B,vector_mix,,80.6399,83.2584,2.6184999999999974,50.0,1.9841253830257977,3.1342600392444258,1.8739937932839965,3.2353168535682713,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-en-zh-composition,mono,composition,zh,en,zh,EN-ZH,ZH docs,embed,gte-multilingual-base,vector_mix,,80.1794,82.7078,2.528400000000005,50.0,1.833809875425331,3.2448861451696267,1.7041382721631488,3.391499608947825,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-en-zh-composition,mono,composition,zh,en,zh,EN-ZH,ZH docs,embed,jina-embeddings-v3,vector_mix,,75.1357,77.7388,2.6030999999999977,50.0,1.9618604466051637,3.3839086156586666,1.8451531668176795,3.5248078145001127,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-en-zh-composition,mono,composition,zh,en,zh,EN-ZH,ZH docs,embed,multilingual-e5-large-instruct,vector_mix,,80.7505,82.9178,2.1672999999999973,70.0,1.601924367652058,2.918148777223753,1.4919850043688316,3.077111265618216,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-en-zh-size,mono,size,zh,en,zh,EN-ZH,ZH docs,embed,Qwen3-Embedding-4B,vector_mix,,87.1263,88.1282,1.0019000000000062,30.0,0.6175489850619883,1.412945790222636,0.5435348332592284,1.4863224355421376,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-en-zh-size,mono,size,zh,en,zh,EN-ZH,ZH docs,embed,Qwen3-Embedding-8B,vector_mix,,88.6658,89.4894,0.823599999999999,50.0,0.45525739841016133,1.2793200621330696,0.381563336545932,1.3561284209620261,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-id-zh-hub,mono,hub,zh,id,zh,ID-ZH,ZH docs,embed,Qwen3-Embedding-0.6B,vector_mix,,80.6166,81.5286,0.9119999999999919,70.0,0.5208127179648784,1.379800845338344,0.461311219363402,1.4767114689888678,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-id-zh-hub,mono,hub,zh,id,zh,ID-ZH,ZH docs,embed,gte-multilingual-base,vector_mix,,80.1981,81.2197,1.0216000000000065,70.0,0.5530787989145587,1.4983864624770027,0.4663960931021968,1.6006652851148737,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-id-zh-hub,mono,hub,zh,id,zh,ID-ZH,ZH docs,embed,jina-embeddings-v3,vector_mix,,75.1365,76.3052,1.1687000000000012,70.0,0.6590563525673467,1.7116880419034692,0.5677121090904365,1.8240157771358103,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-id-zh-hub,mono,hub,zh,id,zh,ID-ZH,ZH docs,embed,multilingual-e5-large-instruct,vector_mix,,80.7765,81.923,1.1465000000000032,70.0,0.7149780892163285,1.6966765700214288,0.6407185802573132,1.807839565243441,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-id-zh-size,mono,size,zh,id,zh,ID-ZH,ZH docs,embed,Qwen3-Embedding-4B,vector_mix,,86.3722,86.7883,0.41610000000000014,70.0,0.13209230656069054,0.9184885355149519,0.08271358756852046,1.0142393932984113,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-id-zh-size,mono,size,zh,id,zh,ID-ZH,ZH docs,embed,Qwen3-Embedding-8B,vector_mix,,87.8408,88.4124,0.5716000000000037,70.0,0.2508479657132604,1.040698803240592,0.19535628263290938,1.1318155080409587,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L2 docs
mmarco,100000,5,mono-zh-zh-ru-composition,mono,composition,zh,zh,ru,ZH-RU,ZH docs,embed,gte-multilingual-base,vector_mix,,80.1981,80.6563,0.45820000000000505,30.0,0.034164100654007976,0.9021669330849285,-0.03688163299668048,0.9818856940649558,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L1 docs
mmarco,100000,5,mono-zh-zh-ru-composition,mono,composition,zh,zh,ru,ZH-RU,ZH docs,embed,jina-embeddings-v3,vector_mix,,75.1365,76.5024,1.3658999999999963,30.0,0.8279656828912281,1.9136945483844454,0.7276645062603845,2.020059854859965,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L1 docs
mmarco,100000,5,mono-zh-zh-ru-composition,mono,composition,zh,zh,ru,ZH-RU,ZH docs,embed,multilingual-e5-large-instruct,vector_mix,,80.7765,81.7648,0.9882999999999953,30.0,0.5262746726938474,1.523224755950065,0.4490275786154346,1.631708547599872,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L1 docs
mmarco,100000,5,mono-zh-zh-ru-size,mono,size,zh,zh,ru,ZH-RU,ZH docs,embed,Qwen3-Embedding-4B,vector_mix,,86.3714,86.8149,0.4435000000000002,30.0,0.20257090750808615,0.9621544219124648,0.15288808500233025,1.0559642426008968,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L1 docs
mmarco,100000,5,mono-zh-zh-ru-size,mono,size,zh,zh,ru,ZH-RU,ZH docs,embed,Qwen3-Embedding-8B,vector_mix,,87.8454,88.705,0.8596000000000004,30.0,0.49521785147772307,1.277759732716516,0.4254856481234377,1.3482807648315807,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L1 docs
