pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
AR-ID,AR + ID docs,embed,30.0,26.619,35.4516,0.9203,25.1043,28.1336,24.8138,28.4242,22.1711,42.0204,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260202-164843-agg.csv
AR-ID,AR + ID docs,embed,50.0,28.3799,36.0862,0.9368,26.8381,29.9216,26.5424,30.2174,23.6178,44.7945,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260202-164854-agg.csv
AR-ID,AR + ID docs,embed,70.0,29.0158,36.3828,0.9445,27.4614,30.5703,27.1632,30.8684,24.2634,45.1707,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260202-164906-agg.csv
AR-ID,AR + ID docs,embed,90.0,28.9455,36.0749,0.9365,27.4042,30.4868,27.1086,30.7824,24.1343,45.4234,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260202-164917-agg.csv
AR-ID,AR + ID docs,embed,100.0,28.5923,36.0489,0.9358,27.0521,30.1325,26.7567,30.4279,23.8854,44.7159,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260202-164931-agg.csv
AR-ID,AR docs,embed,0.0,24.5283,34.8336,0.9042,23.04,26.0165,22.7545,26.302,20.4433,38.7298,bge-m3,mmarco-8841823-arabic-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-093755-agg.csv
AR-ID,AR docs,embed,10.0,25.1462,34.912,0.9063,23.6546,26.6378,23.3685,26.9239,20.8567,40.0438,bge-m3,mmarco-8841823-arabic-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-093808-agg.csv
AR-ID,AR docs,embed,30.0,25.8257,35.2982,0.9163,24.3176,27.3338,24.0284,27.6231,21.5958,40.4818,bge-m3,mmarco-8841823-arabic-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-093819-agg.csv
AR-ID,AR docs,embed,50.0,26.5718,35.989,0.9342,25.0342,28.1094,24.7393,28.4043,22.3313,41.1557,bge-m3,mmarco-8841823-arabic-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-093834-agg.csv
AR-ID,AR docs,embed,70.0,24.7129,35.0547,0.91,23.2151,26.2106,22.9279,26.4978,20.5285,38.7073,bge-m3,mmarco-8841823-arabic-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-093843-agg.csv
AR-ID,AR docs,embed,90.0,21.072,33.0934,0.8591,19.6581,22.4859,19.3869,22.7571,17.3318,33.6703,bge-m3,mmarco-8841823-arabic-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-093854-agg.csv
AR-ID,AR docs,embed,100.0,19.3711,32.2058,0.836,17.9951,20.7471,17.7312,21.011,15.8897,31.2107,bge-m3,mmarco-8841823-arabic-ar-id-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-093907-agg.csv
AR-ID,ID docs,embed,0.0,17.4777,30.9009,0.8021,16.1575,18.798,15.9043,19.0512,14.1498,28.7736,bge-m3,mmarco-8841823-indonesian-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-125558-agg.csv
AR-ID,ID docs,embed,10.0,19.7966,32.6312,0.8471,18.4024,21.1907,18.135,21.4581,16.341,31.6375,bge-m3,mmarco-8841823-indonesian-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-125606-agg.csv
AR-ID,ID docs,embed,30.0,24.8642,34.8805,0.9055,23.3739,26.3544,23.0881,26.6403,20.5584,39.69,bge-m3,mmarco-8841823-indonesian-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-125614-agg.csv
AR-ID,ID docs,embed,50.0,28.0247,36.2024,0.9398,26.4779,29.5714,26.1812,29.8681,23.4275,43.7219,bge-m3,mmarco-8841823-indonesian-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-125622-agg.csv
AR-ID,ID docs,embed,70.0,28.6691,36.342,0.9434,27.1164,30.2218,26.8185,30.5196,24.0154,44.3621,bge-m3,mmarco-8841823-indonesian-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-125631-agg.csv
AR-ID,ID docs,embed,90.0,28.7247,36.0767,0.9365,27.1834,30.2661,26.8877,30.5617,23.96,44.918,bge-m3,mmarco-8841823-indonesian-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-125639-agg.csv
AR-ID,ID docs,embed,100.0,28.4534,35.8358,0.9303,26.9223,29.9845,26.6287,30.2782,23.6775,44.7832,bge-m3,mmarco-8841823-indonesian-ar-id-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-125647-agg.csv
AR-PT,AR + PT docs,embed,0.0,24.8257,34.8682,0.9051,23.336,26.3154,23.0502,26.6012,20.6496,39.3363,bge-m3,mmarco-8841823-bilingual-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260202-204418-agg.csv
AR-PT,AR + PT docs,embed,10.0,25.4009,34.7936,0.9032,23.9144,26.8875,23.6292,27.1726,20.957,40.7513,bge-m3,mmarco-8841823-bilingual-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260202-204430-agg.csv
AR-PT,AR + PT docs,embed,30.0,27.0713,35.6106,0.9244,25.5498,28.5928,25.258,28.8846,22.5371,42.8403,bge-m3,mmarco-8841823-bilingual-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260202-204441-agg.csv
AR-PT,AR + PT docs,embed,50.0,28.8088,36.1632,0.9387,27.2637,30.3539,26.9674,30.6502,23.9308,45.6143,bge-m3,mmarco-8841823-bilingual-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260202-204453-agg.csv
AR-PT,AR + PT docs,embed,70.0,29.2789,36.1763,0.9391,27.7333,30.8245,27.4368,31.121,24.3084,46.3106,bge-m3,mmarco-8841823-bilingual-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260202-204504-agg.csv
AR-PT,AR + PT docs,embed,90.0,28.8539,35.9826,0.9341,27.3166,30.3913,27.0217,30.6862,23.8759,45.9569,bge-m3,mmarco-8841823-bilingual-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260202-204516-agg.csv
AR-PT,AR + PT docs,embed,100.0,28.5855,35.8742,0.9312,27.0527,30.1182,26.7588,30.4122,23.5663,45.7884,bge-m3,mmarco-8841823-bilingual-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260202-204528-agg.csv
AR-PT,AR docs,embed,0.0,24.5283,34.8336,0.9042,23.04,26.0165,22.7545,26.302,20.4433,38.7298,bge-m3,mmarco-8841823-arabic-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-145454-agg.csv
