dataset,docs_size,num_bands,exp_tag,exp_type,block,doc_lang,query_lang_a,query_lang_b,pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,result_kind,result_variant,experiment_dir,source_file
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,0.0,67.4069,38.7148,1.005,65.7528,69.061,65.4355,69.3782,63.4732,81.8845,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0_dev_20260126-135751-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,0.0,72.4648,37.0632,0.9621,70.8813,74.0483,70.5776,74.3521,68.8967,85.1022,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0_dev_20260126-135938-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,0.0,76.2306,35.2692,0.9155,74.7238,77.7375,74.4347,78.0265,73.015,87.9717,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0_dev_20260126-135608-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,10.0,69.9667,37.6856,0.9783,68.3566,71.5768,68.0478,71.8856,66.1643,83.9061,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.1_dev_20260126-135800-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,10.0,73.2683,36.6548,0.9515,71.7022,74.8344,71.4018,75.1348,69.7456,85.7087,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.1_dev_20260126-135947-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,10.0,77.1506,34.7763,0.9027,75.6648,78.6364,75.3798,78.9214,74.0759,88.4771,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.1_dev_20260126-135621-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,30.0,74.5545,35.2902,0.9161,73.0467,76.0622,72.7575,76.3514,70.8386,87.7976,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.3_dev_20260126-135810-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,30.0,74.8236,35.2405,0.9148,73.318,76.3293,73.0292,76.618,71.0215,87.9885,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.3_dev_20260126-135955-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,30.0,78.9546,33.2482,0.8631,77.5341,80.3751,77.2616,80.6476,75.869,90.1954,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.3_dev_20260126-135634-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,50.0,78.7227,32.9377,0.855,77.3154,80.1299,77.0455,80.3998,75.2249,90.7963,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.5_dev_20260126-135819-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,50.0,76.2437,34.4754,0.8949,74.7707,77.7166,74.4882,77.9991,72.6024,88.8309,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.5_dev_20260126-140003-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,50.0,81.7967,30.8212,0.8001,80.4799,83.1135,80.2273,83.3661,78.6372,92.7841,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.5_dev_20260126-135645-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,70.0,80.5475,31.9153,0.8285,79.1839,81.9111,78.9224,82.1726,77.3224,91.6386,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.7_dev_20260126-135828-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,70.0,76.9024,34.3988,0.8929,75.4327,78.3721,75.1508,78.654,73.3437,88.96,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.7_dev_20260126-140011-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,70.0,81.1338,30.9771,0.8041,79.8103,82.4573,79.5565,82.7112,77.8078,92.582,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.7_dev_20260126-135659-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,90.0,80.6683,31.7274,0.8236,79.3127,82.0238,79.0527,82.2838,77.4613,91.7397,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.9_dev_20260126-135836-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,90.0,76.2858,34.7822,0.9029,74.7998,77.7719,74.5147,78.0569,72.7561,88.4546,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.9_dev_20260126-140020-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,90.0,81.2705,31.234,0.8108,79.936,82.605,79.6801,82.8609,78.1649,92.1945,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.9_dev_20260126-135714-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,100.0,80.4401,31.8468,0.8267,79.0794,81.8007,78.8184,82.0617,77.2154,91.5937,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-1_dev_20260126-135845-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,100.0,75.7949,35.0407,0.9096,74.2978,77.292,74.0107,77.5792,72.2682,88.1514,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-1_dev_20260126-140029-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,100.0,80.7874,31.6796,0.8224,79.4339,82.1409,79.1743,82.4005,77.635,91.8913,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-1_dev_20260126-135728-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,0.0,77.4272,33.7654,0.8765,75.9846,78.8698,75.7079,79.1465,73.8718,89.5553,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0_dev_20260126-140055-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,0.0,74.5143,36.0118,0.9348,72.9757,76.053,72.6806,76.3481,71.014,86.8935,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0_dev_20260126-135720-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,0.0,77.5964,33.3686,0.8662,76.1707,79.0221,75.8973,79.2955,73.7848,90.566,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0_dev_20260126-135906-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,0.0,82.646,30.091,0.7811,81.3604,83.9316,81.1138,84.1782,79.5648,93.3513,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0_dev_20260126-135537-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,10.0,77.7901,33.1846,0.8614,76.3723,79.2079,76.1004,79.4799,74.1056,90.3302,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0.1_dev_20260126-140104-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,10.0,75.217,35.4279,0.9197,73.7034,76.7307,73.4131,77.021,71.6849,87.6011,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.1_dev_20260126-135730-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,10.0,78.2093,33.0838,0.8588,76.7958,79.6228,76.5247,79.8939,74.4882,90.8356,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.1_dev_20260126-135914-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,10.0,82.8198,29.7931,0.7734,81.5469,84.0927,81.3028,84.3369,79.6972,93.4861,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.1_dev_20260126-135548-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,30.0,78.8552,32.5296,0.8444,77.4653,80.245,77.1988,80.5116,75.1933,91.341,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0.3_dev_20260126-140112-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,30.0,76.7659,34.6759,0.9001,75.2843,78.2474,75.0002,78.5315,73.4346,88.5782,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.3_dev_20260126-135739-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,30.0,78.8266,32.9236,0.8547,77.42,80.2333,77.1502,80.5031,75.3173,90.7401,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.3_dev_20260126-135921-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,30.0,83.511,29.3098,0.7608,82.2588,84.7633,82.0186,85.0035,80.5564,93.8062,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.3_dev_20260126-135559-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,50.0,78.8519,33.0195,0.8571,77.4411,80.2627,77.1706,80.5332,75.5272,90.566,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0.5_dev_20260126-140120-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,50.0,77.1143,34.4603,0.8945,75.642,78.5866,75.3596,78.869,73.8473,88.7129,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.5_dev_20260126-135748-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,50.0,78.7093,32.9488,0.8553,77.3016,80.117,77.0315,80.387,75.1685,90.5492,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.5_dev_20260126-135929-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,50.0,84.2793,28.5572,0.7413,83.0592,85.4994,82.8252,85.7334,81.3582,94.5474,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.5_dev_20260126-135608-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,70.0,77.4651,34.2902,0.8901,76.0001,78.9302,75.7191,79.2112,74.0349,89.2633,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0.7_dev_20260126-140128-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,70.0,76.7263,34.5148,0.896,75.2516,78.2009,74.9688,78.4838,73.2981,88.6792,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.7_dev_20260126-135757-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,70.0,78.6293,33.0104,0.8569,77.219,80.0397,76.9484,80.3102,75.0745,90.6559,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.7_dev_20260126-135937-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,70.0,83.825,29.2438,0.7591,82.5755,85.0744,82.3359,85.3141,80.9706,93.9241,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.7_dev_20260126-135619-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,90.0,75.3881,35.4835,0.9211,73.8721,76.9041,73.5813,77.1949,71.7588,87.7976,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0.9_dev_20260126-140136-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,90.0,75.8026,35.1118,0.9115,74.3025,77.3028,74.0147,77.5905,72.3142,88.0166,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.9_dev_20260126-135806-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,90.0,78.082,33.7927,0.8772,76.6382,79.5258,76.3612,79.8027,74.6894,89.5665,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.9_dev_20260126-135944-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,90.0,82.9516,29.9363,0.7771,81.6725,84.2306,81.4272,84.4759,79.9646,93.6208,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.9_dev_20260126-135631-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,100.0,74.0581,36.2258,0.9404,72.5103,75.6058,72.2135,75.9027,70.3181,86.8879,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-de-nl-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-1_dev_20260126-140145-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,100.0,74.8671,35.7765,0.9287,73.3385,76.3956,73.0454,76.6888,71.4081,86.9721,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-de-nl-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-1_dev_20260126-135814-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,100.0,77.8591,34.1256,0.8859,76.4011,79.3172,76.1215,79.5968,74.542,89.1734,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-de-nl-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-1_dev_20260126-135953-agg.csv
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,100.0,82.5686,30.4096,0.7894,81.2694,83.8679,81.0202,84.1171,79.5705,93.3176,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-de-nl-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-1_dev_20260126-135645-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,0.0,86.5317,26.3366,0.6837,85.4064,87.6569,85.1906,87.8727,83.9303,95.8053,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-en-ar-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0_dev_20260126-140024-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,0.0,86.4454,26.5944,0.6904,85.3091,87.5816,85.0912,87.7995,83.7365,95.7491,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-en-ar-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0_dev_20260126-135652-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,0.0,83.5973,28.8155,0.748,82.3662,84.8285,82.1301,85.0646,80.3135,94.7664,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-en-ar-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0_dev_20260126-135836-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,0.0,86.7797,25.7209,0.6677,85.6808,87.8786,85.47,88.0894,84.0121,96.3724,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-en-ar-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0_dev_20260126-135505-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,10.0,86.0996,26.7349,0.694,84.9573,87.2418,84.7382,87.4609,83.4314,95.6031,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-en-ar-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0.1_dev_20260126-140033-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,10.0,86.2769,26.8764,0.6977,85.1286,87.4252,84.9084,87.6455,83.557,95.6143,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-en-ar-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.1_dev_20260126-135702-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,10.0,83.5832,28.809,0.7478,82.3523,84.8141,82.1162,85.0501,80.2694,94.8338,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-en-ar-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.1_dev_20260126-135844-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,10.0,86.7423,25.6608,0.6661,85.6459,87.8386,85.4356,88.0489,83.8677,96.5858,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-en-ar-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.1_dev_20260126-135515-agg.csv
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,30.0,84.7858,27.9597,0.7258,83.5913,85.9804,83.3621,86.2095,82.0186,94.6709,Qwen3-Embedding-0.6B,vector_mix,,mmarco-100000-bilingual-en-ar-composition-5bands-Qwen3-Embedding-0.6B,mmarco-100000-bilingual-en-ar-composition-5bands-Qwen3-Embedding-0.6B/vector_mix/cm-alpha-0.3_dev_20260126-140041-agg.csv
