pair,doc_mix,mix_ratio,method,metric,mean,dataset,docs_size,model,source_file
ID-ZH,ID + ZH docs,70.0,embed,r@10,0.9211028751123091,mmarco,100000,bge-m3,mmarco-100000-bilingual-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251012-190203-agg.csv
ID-ZH,ID + ZH docs,90.0,embed,r@10,0.915038185085355,mmarco,100000,bge-m3,mmarco-100000-bilingual-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251012-190225-agg.csv
ID-ZH,ID + ZH docs,100.0,embed,r@10,0.9042565139263252,mmarco,100000,bge-m3,mmarco-100000-bilingual-id-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251012-190248-agg.csv
ID-ZH,ID docs,0.0,embed,ndcg@10,0.7967087121530654,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251013-031903-agg.csv
ID-ZH,ID docs,10.0,embed,ndcg@10,0.8001946127150882,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251013-031918-agg.csv
ID-ZH,ID docs,30.0,embed,ndcg@10,0.8006602278896506,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251013-031932-agg.csv
ID-ZH,ID docs,50.0,embed,ndcg@10,0.7912882835765849,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251013-031948-agg.csv
ID-ZH,ID docs,70.0,embed,ndcg@10,0.7610962407884121,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251013-032003-agg.csv
ID-ZH,ID docs,90.0,embed,ndcg@10,0.686884911679835,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251013-032017-agg.csv
ID-ZH,ID docs,100.0,embed,ndcg@10,0.6386782317761149,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251013-032032-agg.csv
ID-ZH,ID docs,0.0,embed,mrr@10,0.7610252748898308,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251013-031903-agg.csv
ID-ZH,ID docs,10.0,embed,mrr@10,0.7653109356950333,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251013-031918-agg.csv
ID-ZH,ID docs,30.0,embed,mrr@10,0.7636070465922226,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251013-031932-agg.csv
ID-ZH,ID docs,50.0,embed,mrr@10,0.7556288238565875,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251013-031948-agg.csv
ID-ZH,ID docs,70.0,embed,mrr@10,0.7222751679288075,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251013-032003-agg.csv
ID-ZH,ID docs,90.0,embed,mrr@10,0.6420174988234295,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251013-032017-agg.csv
ID-ZH,ID docs,100.0,embed,mrr@10,0.5938764814101748,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251013-032032-agg.csv
ID-ZH,ID docs,0.0,embed,r@10,0.9205413297394428,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251013-031903-agg.csv
ID-ZH,ID docs,10.0,embed,r@10,0.921552111410602,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251013-031918-agg.csv
ID-ZH,ID docs,30.0,embed,r@10,0.9267183288409702,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251013-031932-agg.csv
ID-ZH,ID docs,50.0,embed,r@10,0.914027403414196,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251013-031948-agg.csv
ID-ZH,ID docs,70.0,embed,r@10,0.8949910152740342,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251013-032003-agg.csv
ID-ZH,ID docs,90.0,embed,r@10,0.8398472596585805,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251013-032017-agg.csv
ID-ZH,ID docs,100.0,embed,r@10,0.7916666666666667,mmarco,100000,bge-m3,mmarco-100000-indonesian-id-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251013-032032-agg.csv
ID-ZH,ZH docs,0.0,embed,ndcg@10,0.6272205134507739,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251013-043357-agg.csv
ID-ZH,ZH docs,10.0,embed,ndcg@10,0.6698676759079191,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251013-043411-agg.csv
ID-ZH,ZH docs,30.0,embed,ndcg@10,0.7451216586421457,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251013-043425-agg.csv
ID-ZH,ZH docs,50.0,embed,ndcg@10,0.7784966290503043,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251013-043440-agg.csv
ID-ZH,ZH docs,70.0,embed,ndcg@10,0.7876078230267839,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251013-043454-agg.csv
ID-ZH,ZH docs,90.0,embed,ndcg@10,0.7844067393862545,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251013-043508-agg.csv
ID-ZH,ZH docs,100.0,embed,ndcg@10,0.7791911272026055,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251013-043523-agg.csv
ID-ZH,ZH docs,0.0,embed,mrr@10,0.5843847601933865,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251013-043357-agg.csv
ID-ZH,ZH docs,10.0,embed,mrr@10,0.6254093933170759,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251013-043411-agg.csv
ID-ZH,ZH docs,30.0,embed,mrr@10,0.703707269071151,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251013-043425-agg.csv
ID-ZH,ZH docs,50.0,embed,mrr@10,0.7382080819749289,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251013-043440-agg.csv
ID-ZH,ZH docs,70.0,embed,mrr@10,0.7493547576263213,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251013-043454-agg.csv
ID-ZH,ZH docs,90.0,embed,mrr@10,0.7451319364223682,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251013-043508-agg.csv
ID-ZH,ZH docs,100.0,embed,mrr@10,0.7408112458820012,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251013-043523-agg.csv
ID-ZH,ZH docs,0.0,embed,r@10,0.7731356693620846,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251013-043357-agg.csv
ID-ZH,ZH docs,10.0,embed,r@10,0.8223270440251572,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251013-043411-agg.csv
ID-ZH,ZH docs,30.0,embed,r@10,0.8855008984725965,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251013-043425-agg.csv
ID-ZH,ZH docs,50.0,embed,r@10,0.9149820305480684,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251013-043440-agg.csv
ID-ZH,ZH docs,70.0,embed,r@10,0.9168912848158132,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251013-043454-agg.csv
ID-ZH,ZH docs,90.0,embed,r@10,0.9145327942497754,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251013-043508-agg.csv
ID-ZH,ZH docs,100.0,embed,r@10,0.9084681042228212,mmarco,100000,bge-m3,mmarco-100000-chinese-id-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251013-043523-agg.csv
