src_lang,src_iso3,tgt_lang,tgt_iso3,lang2vec_knn,grambank,scripts,glot_tree
ar,arb,de,deu,0.33644859813084116,-1,1.0,1.0
ar,arb,en,eng,0.30463575014369393,0.5075192189225524,1.0,1.0
ar,arb,es,spa,0.2911280393189044,-1,1.0,1.0
ar,arb,fr,fra,0.2930156085644664,0.4550502247782184,1.0,1.0
ar,arb,hi,hin,0.28371318236136733,0.5412294272573258,1.0,1.0
ar,arb,id,ind,0.3060717923159134,0.432283109626882,1.0,1.0
ar,arb,it,ita,0.26831336242966675,0.49746833816309105,1.0,1.0
ar,arb,ja,jpn,0.4788062814294263,0.5903260526902472,1.0,1.0
ar,arb,nl,nld,0.3490276349746464,0.4923659639173309,1.0,1.0
ar,arb,pt,por,0.29578599594852306,0.46601686361302114,1.0,1.0
ar,arb,ru,rus,0.2911280393189044,0.5173748811807234,1.0,1.0
ar,arb,vi,vie,0.4158989815194788,0.5124707431905383,1.0,1.0
ar,arb,zh,cmn,0.4158989815194788,0.6236095644623236,1.0,1.0
de,deu,en,eng,0.18080376044325586,-1,0.6666666666666667,0.5833333333333333
de,deu,es,spa,0.32240180229012916,-1,0.0,0.8452380952380953
de,deu,fr,fra,0.17208406792417785,-1,0.0,0.857843137254902
de,deu,hi,hin,0.31162046097066465,-1,0.5,0.8333333333333334
de,deu,id,ind,0.3060717923159134,-1,0.0,1.0
de,deu,it,ita,0.21678613443175587,-1,0.0,0.8257575757575757
de,deu,ja,jpn,0.3679140008824957,-1,0.5,1.0
de,deu,nl,nld,0.08486493612377821,-1,0.0,0.5416666666666666
de,deu,pt,por,0.20651943205467393,-1,0.0,0.8541666666666667
de,deu,ru,rus,0.2285805133764548,-1,1.0,0.75
de,deu,vi,vie,0.3339198912064232,-1,0.0,1.0
de,deu,zh,cmn,0.3441672774955552,-1,0.6666666666666667,1.0
en,eng,es,spa,0.26686955877731444,-1,0.6666666666666667,0.8452380952380953
en,eng,fr,fra,0.23201183261542468,0.46601686361302114,0.6666666666666667,0.857843137254902
en,eng,hi,hin,0.3173438512137109,0.5640760748177662,0.75,0.8333333333333334
en,eng,id,ind,0.2383200888826309,0.3692744729379982,0.6666666666666667,1.0
en,eng,it,ita,0.22273024058209978,0.46601686361302114,0.6666666666666667,0.8257575757575757
en,eng,ja,jpn,0.4122698974190483,0.5729597091269405,0.75,1.0
en,eng,nl,nld,0.1922703518713581,0.4020151261036849,0.6666666666666667,0.5416666666666666
en,eng,pt,por,0.18114952765147263,0.4714045207910317,0.6666666666666667,0.8541666666666667
en,eng,ru,rus,0.26686955877731444,0.5318160234783105,1.0,0.75
en,eng,vi,vie,0.27933160728597994,0.4550502247782184,0.6666666666666667,1.0
en,eng,zh,cmn,0.3315539545840974,0.5318160234783105,0.8,1.0
es,spa,fr,fra,0.27366505924119466,-1,0.0,0.3487394957983193
es,spa,hi,hin,0.3566747667564867,-1,0.5,0.8452380952380953
es,spa,id,ind,0.2855117376556887,-1,0.0,1.0
es,spa,it,ita,0.14936909373734975,-1,0.0,0.35064935064935066
es,spa,ja,jpn,0.48049076920494205,-1,0.5,1.0
es,spa,nl,nld,0.2633619213516527,-1,0.0,0.8285714285714286
es,spa,pt,por,0.15918090876452695,-1,0.0,0.19642857142857145
es,spa,ru,rus,0.22093023255813948,-1,1.0,0.761904761904762
es,spa,vi,vie,0.3827664406494028,-1,0.0,1.0
es,spa,zh,cmn,0.3484756873521473,-1,0.6666666666666667,1.0
fr,fra,hi,hin,0.2962962962962963,0.5729597091269405,0.5,0.857843137254902
fr,fra,id,ind,0.26678677997716105,0.43808582711518057,0.0,1.0
fr,fra,it,ita,0.1999053086343373,0.4143877070053741,0.0,0.40106951871657753
fr,fra,ja,jpn,0.41499820896293904,0.6071959063489053,0.5,1.0
fr,fra,nl,nld,0.1736269509321171,0.44381268229929727,0.0,0.8411764705882353
fr,fra,pt,por,0.1608390898412857,0.408248290463863,0.0,0.39338235294117646
fr,fra,ru,rus,0.24253641892296018,0.5173748811807234,1.0,0.7745098039215687
fr,fra,vi,vie,0.34721060121375513,0.5222329678670935,0.0,1.0
fr,fra,zh,cmn,0.34721060121375513,0.6154574548966637,0.6666666666666667,1.0
hi,hin,id,ind,0.3624232869366617,0.3892494720807615,0.5,1.0
hi,hin,it,ita,0.3332544238619477,0.5173748811807234,0.5,0.8257575757575757
hi,hin,ja,jpn,0.38188490003631304,0.5365433699886598,0.6666666666666667,1.0
