qid,band,r_between_0_1,r,delta,delta_rel,p,d_axis,alpha,residual_norm,r2_local,cos_en,cos_zh,en_tokens,zh_tokens,cm_tokens,en_han,en_latin,zh_han,zh_latin,cm_han,cm_latin,delta_over_axis,z_delta,min_cos,is_outlier,outlier_reason
636434,0-20,True,0.24640832730175088,0.46801888942718506,0.454731743126305,0.2536083161830902,1.0292197465896606,0.7535916626566116,0.46801888942718506,0.7330761099469099,0.8583205938339233,0.5896927118301392,13,10,15,0,42,12,0,3,32,0.454731743126305,-0.06420527795252391,0.5896927118301392,True,low_cos
1047625,0-20,True,0.2760528468575815,0.5701610445976257,0.5619214007962164,0.2801007032394409,1.0146633386611938,0.7239471072565823,0.570160984992981,0.6240355993417692,0.7982299327850342,0.5676672458648682,11,9,12,0,29,10,0,2,25,0.5619214007962164,0.6124771115493333,0.5676672458648682,True,low_cos
992365,0-20,True,0.057617044326706106,0.2359078824520111,0.24037375936129096,0.05654658377170563,0.9814211130142212,0.9423828702733063,0.2359078973531723,0.9389135480997832,0.9705749750137329,0.5444773435592651,7,9,9,0,24,10,0,2,18,0.24037375936129096,-1.4174353919024698,0.5444773435592651,True,low_cos
575492,0-20,True,0.02133289626648877,0.16457420587539673,0.1959144370028935,0.017920294776558876,0.8400310277938843,0.9786671525234779,0.16457420587539673,0.9614700330062157,0.9862972497940063,0.6485246419906616,11,8,13,0,27,10,0,1,24,0.1959144370028935,-1.6981046387598437,0.6485246419906616,True,low_cos
166111,0-20,True,0.052561211434029885,0.24841217696666718,0.25286330971280463,0.0516359806060791,0.9823970794677734,0.9474388792471529,0.24841216206550598,0.933505441538852,0.9678125381469727,0.5359876155853271,13,10,13,0,48,10,0,1,37,0.25286330971280463,-1.338589550247745,0.5359876155853271,True,low_cos
612846,0-20,True,0.2001296409067187,0.38960883021354675,0.41606739493914924,0.18740299344062805,0.9364079833030701,0.7998704122581412,0.38960883021354675,0.7870450380856546,0.9065426588058472,0.6435983777046204,10,12,15,0,26,13,0,5,24,0.41606739493914924,-0.308291172884536,0.6435983777046204,True,low_cos
601684,0-20,True,0.9772777074447949,0.18766474723815918,0.19762858899838265,0.9280062913894653,0.9495829939842224,0.022722262500340425,0.18766474723815918,0.013046763938420747,0.5517932176589966,0.9821581840515137,7,6,9,0,29,8,0,2,23,0.19762858899838265,-1.687283291873477,0.5517932176589966,True,low_cos
986316,0-20,True,0.1087165819177056,0.5294163823127747,0.7188345343259344,0.08006896823644638,0.7364926934242249,0.8912834622774887,0.5294163823127747,0.6058886303885864,0.8566538095474243,0.6444131731987,9,10,9,0,25,13,0,2,22,0.7188345343259344,1.6030610582589486,0.6444131731987,True,low_cos
1085327,0-20,True,0.07967301700616358,0.3315647840499878,0.37626886050720243,0.0702071562409401,0.8811911344528198,0.9203269828559217,0.3315648138523102,0.8567862110968408,0.9425679445266724,0.6161849498748779,9,8,10,0,23,8,0,1,21,0.37626886050720243,-0.5595371229463891,0.6161849498748779,True,low_cos
540456,0-20,True,0.9659674165940931,0.28093791007995605,0.3343198795996289,0.8117281794548035,0.8403266668319702,0.034032606152401085,0.28093791007995605,0.010256163271909924,0.6310857534408569,0.9601280689239502,8,12,11,0,25,14,0,3,20,0.3343198795996289,-0.8243587228540894,0.6310857534408569,True,low_cos
754191,0-20,True,0.021621251751727417,0.1685740053653717,0.19070355064160613,0.01911228708922863,0.8839583992958069,0.9783787568971386,0.1685740053653717,0.9633976365767175,0.9856088161468506,0.6118119955062866,12,10,15,0,37,13,0,1,35,0.19070355064160613,-1.7310006765962285,0.6118119955062866,True,low_cos
833268,0-20,True,0.37790820089640076,0.35463637113571167,1.153021244167011,0.11623375862836838,0.3075714111328125,0.6220918766765745,0.3546363413333893,0.2254636155710218,0.9303613901138306,0.9188116192817688,8,7,10,0,26,8,4,2,19,1.153021244167011,4.344057780255961,0.9188116192817688,True,delta_mad
759062,0-20,True,0.06126105626707088,0.21100866794586182,0.23185049762386148,0.05575409159064293,0.9101065993309021,0.9387388939405322,0.21100866794586182,0.9425074926840252,0.9761835336685181,0.6127786636352539,18,9,19,0,57,10,0,3,54,0.23185049762386148,-1.4712422725680894,0.6127786636352539,True,low_cos
626701,0-20,True,0.8960283591367929,0.39663583040237427,0.39397560758967404,0.9020785689353943,1.0067522525787354,0.10397171639355349,0.39663586020469666,0.06511066431358126,0.514467179775238,0.9158617854118347,7,6,8,0,20,9,0,1,15,0.39397560758967404,-0.4477554064400281,0.514467179775238,True,low_cos
1094566,0-20,True,0.348110354853424,0.6220102310180664,1.0221477424452199,0.21183650195598602,0.6085326075553894,0.6518895738364793,0.6220102310180664,0.2891384104087883,0.7841143012046814,0.727867841720581,8,10,8,0,28,12,0,2,24,1.0221477424452199,3.5178605911549825,0.727867841720581,True,delta_mad
1006509,0-20,True,0.06811799874762567,0.2210681438446045,0.23494897223878594,0.06409357488155365,0.940919816493988,0.931882008761107,0.2210681438446045,0.940233092502817,0.9735105037689209,0.5911523699760437,10,12,12,0,35,17,0,4,31,0.23494897223878594,-1.4516817734321128,0.5911523699760437,True,low_cos
849561,0-20,True,0.9390384586409006,0.21924559772014618,0.25192079180089866,0.8172411918640137,0.8702957630157471,0.06096155000849511,0.21924559772014618,0.05531852927652681,0.6420240998268127,0.9745583534240723,8,7,10,0,27,9,0,3,19,0.25192079180089866,-1.3445396137766432,0.6420240998268127,True,low_cos
