qid,band,r_between_0_1,r,delta,delta_rel,p,d_axis,alpha,residual_norm,r2_local,cos_en,cos_zh,en_tokens,zh_tokens,cm_tokens,en_han,en_latin,zh_han,zh_latin,cm_han,cm_latin,delta_over_axis,z_delta,min_cos,is_outlier,outlier_reason
820161,0-20,True,0.1922063269627666,0.3116905987262726,0.48078059240018045,0.12460757791996002,0.6483011245727539,0.8077936355337524,0.3116905987262726,0.738423612714377,0.9436611533164978,0.8142971396446228,12,8,12,0,41,13,0,3,31,0.48078059240018045,0.1002396690096276,0.8142971396446228,False,
1011860,0-20,True,0.6291755575144605,0.3332713842391968,0.4390548382931766,0.47758546471595764,0.7590655088424683,0.3708243264715667,0.3332713842391968,0.41634604739915293,0.8304212093353271,0.9048497080802917,12,13,13,0,37,13,0,3,28,0.4390548382931766,-0.1631727124334003,0.8304212093353271,False,
517386,0-20,True,0.1934546249508999,0.30734121799468994,0.42346016259409874,0.1404065489768982,0.7257854342460632,0.8065453432035378,0.30734121799468994,0.7839103501954445,0.9429137110710144,0.781436562538147,21,21,22,0,76,21,0,3,67,0.42346016259409874,-0.2616210389319811,0.781436562538147,False,
954307,0-20,True,0.09025306783226839,0.21303890645503998,0.310365143200656,0.06195094808936119,0.6864137649536133,0.9097469416753176,0.21303890645503998,0.8957466879567023,0.9753883481025696,0.782330334186554,7,8,9,0,29,13,0,2,23,0.310365143200656,-0.9755836508808371,0.782330334186554,False,
1095557,0-20,True,0.11708564938382002,0.19763179123401642,0.34637194456251996,0.0668063536286354,0.5705767869949341,0.8829143487006346,0.19763179123401642,0.8666236560716635,0.9782392978668213,0.8535785675048828,9,9,10,0,36,15,0,1,35,0.34637194456251996,-0.748274702298345,0.8535785675048828,False,
1096476,0-20,True,0.09752956855303328,0.19060277938842773,0.3212429465929784,0.057867128401994705,0.5933290719985962,0.902470454558153,0.19060277938842773,0.8875420462871079,0.9801610708236694,0.8384755849838257,18,15,20,0,57,26,0,3,57,0.3212429465929784,-0.9069126787734754,0.8384755849838257,False,
1087001,0-20,True,0.9081733239515756,0.3579719364643097,0.47380342156398847,0.6861507296562195,0.7555283904075623,0.09182672407888043,0.3579719066619873,0.03620165537566944,0.7005267143249512,0.9335214495658875,10,8,10,0,42,11,0,3,23,0.47380342156398847,0.056193174823254644,0.7005267143249512,False,
1084906,0-20,True,0.25412108030931657,0.24888259172439575,0.5329618457230934,0.11866949498653412,0.46698012948036194,0.7458789733273383,0.24888259172439575,0.6620016112234248,0.9619875550270081,0.9083686470985413,11,10,14,0,51,13,0,2,46,0.5329618457230934,0.42965703961535645,0.9083686470985413,False,
853882,0-20,True,0.8582461594915194,0.2995409369468689,0.4430772277252595,0.5802145600318909,0.6760467886924744,0.14175395322833123,0.2995409369468689,0.09285168083672968,0.7868130803108215,0.9505456686019897,12,10,13,0,38,10,0,3,31,0.4430772277252595,-0.13777959007834212,0.7868130803108215,False,
582705,0-20,True,0.050841393827189614,0.19768673181533813,0.28654251099968897,0.03507566452026367,0.6899036765098572,0.9491586085260819,0.19768673181533813,0.916474185508794,0.9798448085784912,0.7660601139068604,14,11,15,0,44,17,0,1,41,0.28654251099968897,-1.1259746124008057,0.7660601139068604,False,
1099340,0-20,True,0.33502633880951116,0.24602369964122772,0.5371006196838548,0.1534617841243744,0.4580588638782501,0.6649736567409356,0.24602369964122772,0.6051866889158002,0.9579609632492065,0.9233464598655701,11,9,12,0,39,12,0,2,34,0.5371006196838548,0.4557848910728229,0.9233464598655701,False,
262280,0-20,True,0.03365266018827772,0.0871262475848198,0.21424969157513932,0.013685107231140137,0.40665751695632935,0.9663473395438652,0.0871262475848198,0.9531473717398422,0.9961108565330505,0.9189907908439636,9,9,9,0,23,10,0,1,22,0.21424969157513932,-1.5823551891788057,0.9189907908439636,False,
1037689,0-20,True,0.9480824182909916,0.239557683467865,0.3576994163665524,0.6349477171897888,0.6697178483009338,0.05191752174981085,0.239557683467865,0.02063166118646642,0.7697267532348633,0.9707016944885254,7,6,9,0,33,10,0,2,26,0.3576994163665524,-0.6767649983400387,0.7697267532348633,False,
865616,0-20,True,0.4331750874152454,0.5257487297058105,0.5429390653287858,0.4194600582122803,0.9683383703231812,0.5668249844930403,0.5257487297058105,0.5215133526779387,0.7738208770751953,0.71116042137146,10,10,12,0,30,13,0,2,26,0.5429390653287858,0.49264267601094563,0.71116042137146,False,
868410,0-20,True,0.4834020053487751,0.33922383189201355,0.4931173034236534,0.33254051208496094,0.6879171133041382,0.516598029732798,0.33922386169433594,0.5232421756329761,0.8871720433235168,0.8793173432350159,11,10,12,0,33,13,0,2,26,0.4931173034236534,0.17812064442672604,0.8793173432350159,False,
1097213,0-20,True,0.08284041025740894,0.2254878580570221,0.33487847454231606,0.05577995628118515,0.6733423471450806,0.9171595377237803,0.2254878580570221,0.8823658667317549,0.9730219841003418,0.7838859558105469,9,8,11,0,28,8,3,2,24,0.33487847454231606,-0.82083234382837,0.7838859558105469,False,
1035874,0-20,True,0.012172097864880094,0.18042317032814026,0.3032494896995717,0.007241985760629177,0.5949661135673523,0.9878279176349334,0.18042317032814026,0.9138758693510033,0.9836974740028381,0.81101393699646,13,11,14,0,48,16,0,3,43,0.3032494896995717,-1.0205043784832033,0.81101393699646,False,
823421,0-20,True,0.09555361824545439,0.1743297129869461,0.46626707719377625,0.035725951194763184,0.37388381361961365,0.9044463712524603,0.1743297129869461,0.7900337619925698,0.9841665625572205,0.9276293516159058,9,8,11,0,31,8,8,1,28,0.46626707719377625,0.008616648996028462,0.9276293516159058,False,
1000951,0-20,True,0.14058226227178894,0.2615874409675598,0.367287609953513,0.10012467950582504,0.7122141718864441,0.8594177922633556,0.2615874409675598,0.8455634336935761,0.9607735872268677,0.778459370136261,10,11,12,0,37,14,0,2,31,0.367287609953513,-0.6162352617173966,0.778459370136261,False,
333486,0-20,True,0.04474084315371267,0.10828064382076263,0.20489064590361017,0.023644648492336273,0.5284801721572876,0.9552591591918441,0.10828064382076263,0.9560186767826965,0.9938582181930542,0.8667082786560059,15,11,16,0,35,14,0,2,32,0.20489064590361017,-1.6414383276656361,0.8667082786560059,False,
388588,0-20,True,0.4060296089765144,0.33285102248191833,0.5516197289382534,0.24500097334384918,0.6034066677093506,0.5939703970383942,0.33285099267959595,0.5369180530160609,0.9145923852920532,0.8803778290748596,13,11,13,0,52,14,0,4,44,0.5516197289382534,0.5474432260024887,0.8803778290748596,False,
568841,0-20,True,0.48261467956255844,0.22658009827136993,0.5162661774413528,0.21181105077266693,0.43888232111930847,0.517385335416313,0.22658009827136993,0.501082741132375,0.9518988728523254,0.9485499858856201,9,6,11,0,40,10,0,2,37,0.5162661774413528,0.32425820774288705,0.9485499858856201,False,
1086384,0-20,True,0.032121858957931855,0.07194343954324722,0.15346674120788265,0.015058357268571854,0.4687884747982025,0.9678781287250763,0.07194343954324722,0.975475313821736,0.9972987174987793,0.8944766521453857,11,9,12,0,35,11,0,2,31,0.15346674120788265,-1.966074598211246,0.8944766521453857,False,
212251,0-20,True,0.36311793529512526,0.5025047063827515,0.618462930025351,0.2950354218482971,0.8125057816505432,0.6368820707452376,0.5025047063827515,0.5146694501551013,0.8302215933799744,0.7398567795753479,12,10,14,0,33,12,0,3,22,0.618462930025351,0.969420663162147,0.7398567795753479,False,
1047012,0-20,True,0.16374427064928007,0.40606817603111267,0.48942568810879067,0.13585583865642548,0.8296830058097839,0.8362559245399471,0.40606817603111267,0.7448638009876583,0.9083259701728821,0.6768561601638794,9,10,10,0,28,11,0,1,25,0.48942568810879067,0.15481568080723523,0.6768561601638794,False,
610940,0-20,True,0.17451850819318782,0.24981750547885895,0.4084064950315021,0.10675094276666641,0.6116883754730225,0.8254814865083259,0.24981750547885895,0.8033567719101982,0.9630978107452393,0.8413147330284119,10,9,11,0,28,9,4,1,26,0.4084064950315021,-0.356654010941219,0.8413147330284119,False,
77878,0-20,True,0.24547835735930823,0.21028165519237518,0.39057329217558817,0.1321636587381363,0.5383923053741455,0.7545216325346362,0.21028165519237518,0.7886716152104347,0.9691572189331055,0.8953800201416016,12,12,15,0,44,13,5,3,32,0.39057329217558817,-0.4692340357620143,0.8953800201416016,False,
6217,0-20,True,0.7659017816082295,0.39547377824783325,0.5068553186216712,0.5975947380065918,0.780249834060669,0.23409812882534,0.39547377824783325,0.17581392744648472,0.7432405948638916,0.9051188230514526,11,10,14,0,43,12,0,3,32,0.5068553186216712,0.2648479757130636,0.7432405948638916,False,
1000681,0-20,True,0.09514350673347732,0.1470385044813156,0.29802361721522663,0.04694177955389023,0.4933786988258362,0.9048564472774843,0.1470385044813156,0.9021378190931086,0.9880881309509277,0.8895368576049805,9,10,11,0,34,15,0,2,25,0.29802361721522663,-1.0534950228868682,0.8895368576049805,False,
910150,0-20,True,0.14678031047372186,0.2623373866081238,0.3391691068115781,0.11353027820587158,0.7734707593917847,0.8532196642312655,0.2623373866081238,0.8635432684758264,0.9591450095176697,0.7478289604187012,9,10,11,0,37,12,0,2,30,0.3391691068115781,-0.7937458192554588,0.7478289604187012,False,
1062511,0-20,True,0.5080492040739547,0.29129233956336975,0.5055332653290792,0.2927420437335968,0.5762080550193787,0.4919508360323207,0.29129233956336975,0.48638576753186136,0.9147254824638367,0.9173979759216309,12,13,16,0,52,18,0,5,45,0.5055332653290792,0.2565019262850962,0.9147254824638367,False,
992660,0-20,True,0.3074042849262609,0.32191234827041626,0.43663656176175697,0.22663524746894836,0.7372546792030334,0.6925956910738409,0.32191234827041626,0.7155899967528585,0.9225045442581177,0.817820131778717,16,12,17,0,56,17,0,2,50,0.43663656176175697,-0.17843915863100435,0.817820131778717,False,
